,Name,Dialog,Conversational voice,CurrentSprite,Background,BackgroundSound,Face
1,,一年后的暑假，我和岚相约着回到了家中。,,,,,
2,,令人意外的，老爸居然休了长假。,,,,,
3,,于是在饭点，我们围在餐桌前吃饭。,,,,,
4,,大学感觉怎么样,,,,,
5,岚,和想象中的不一样！,,,,,
6,,几乎是异口同声，我和岚同时喊了出来。,,,,,
7,,于是我们开始互相倒起苦水来。,,,,,
8,,和我看的电视里完全不一样，每天都是课,,,,,
9,,我每天都是早八，还带晚自习的，强度不亚于高中,,,,,
10,,还有一些人际关系……,,,,,
11,,课程又多又难……,,,,,
12,,我们聊了很多关于自己大学的事，唯独没有提及男女朋友的事情。,,,,,
13,,事实上，每个周末我都会乘公交车去岚的学校找她，然后一起在繁华的城市里穿梭。,,,,,
14,,偶尔玩得太过，也有在外面过夜第二天早上急急忙忙回去上早八的时候。,,,,,
15,,早八，我捂着青红色的脖子，歪着头上课。脖子上是岚的咬痕——昨晚确实玩的太过了点。,,,,,
16,,但是好想再和岚涩涩一下。,,,,,
17,,想到这里，我的表情渐渐变得怪起来。,,,,,
18,,哇好恶心,,,,,
19,,一旁的室友终于看不下去，轻轻地踹了我一脚。,,,,,
20,岚,哇，月的表情好恶心,,,,,
21,,岚掐了一下我的肩头。说实话，不疼但有点痒。,,,,,
22,岚,有吗？,,,,,
23,,我疑惑地问道。,,,,,
24,,"老爸没有说话，只是点点头。岚则表示已经拍了下来，放入到""阿月丑照""合集中。",,,,,
25,,喂什么时候有了这种合集啊，快给我删掉啊！,,,,,
26,老爸,对了，你吃完饭后来楼下书房找我一趟,,,,,
27,,饭后，老爸起身对我说道。,,,,,
28,老爸,……,,,,,
29,,我和岚埋头吃饭，不发一言。,,,,,
30,,老爸其实是知道我们之间的事情的，这一点毋庸置疑。而我也很感谢老爸那时对我的点拨——虽然只有寥寥几语。,,,,,
31,老爸,还没来过这个房间吧,,,,,
32,,我进入房间，开始打量起这个书房——复古的设计，书柜上摆着许多专业性书籍，阳光透过落地窗撒在书桌上。在这里看书，好不惬意。,,,,,
