,Name,Dialog,Character_1,Character_2,Character_3,Background,BackgroundSound,ConversationalVoice
1,,一年后的暑假，我和岚相约着回到了家中。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
2,,令人意外的，老爸居然休了长假。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
3,,于是在饭点，我们围在餐桌前吃饭。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
4,,大学感觉怎么样,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
5,岚,和想象中的不一样！,"(CharacterId=""Lan"",CurrentSprite=Texture2D'/Game/Assets/VerticalPainting/Lan/arashi_pose01_relaxed_base_noface.arashi_pose01_relaxed_base_noface',Face=None,Position=Inherit,Transition=Inherit,bKeepPrevious=True,bHide=False,bMirror=False,ZOrder=0)",,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,/Game/Assets/Audio/ConversationalVoice/021_和想象中的不一样！.021_和想象中的不一样！
6,,几乎是异口同声，我和岚同时喊了出来。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
7,,于是我们开始互相倒起苦水来。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
8,,和我看的电视里完全不一样，每天都是课,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
9,,我每天都是早八，还带晚自习的，强度不亚于高中,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
10,,还有一些人际关系……,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
11,,课程又多又难……,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
12,,我们聊了很多关于自己大学的事，唯独没有提及男女朋友的事情。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
13,,事实上，每个周末我都会乘公交车去岚的学校找她，然后一起在繁华的城市里穿梭。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
14,,偶尔玩得太过，也有在外面过夜第二天早上急急忙忙回去上早八的时候。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
