,Name,Dialog,Character_1,Character_2,Character_3,Background,BackgroundSound,ConversationalVoice
1,,那个，我进来啦～,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
2,,岚站在门口，身着一袭白裙，穿着略显成熟的白色凉鞋，头戴一顶太阳帽，轻轻地敲开了门。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
3,,嘛…,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
4,,不用这么客气的…,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
5,,我挠了下头。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
6,,明明我才刚从那边回来一个星期。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
7,,第一次过来嘛,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
8,,家里又没人,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
9,,我挥了挥手，示意岚进来。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
10,,昨天只是简单收拾了一下，可能有点乱,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
11,岚,嗯,"(CharacterId=""Lan"",CurrentSprite=Texture2D'/Game/Assets/VerticalPainting/Lan/arashi_pose01_relaxed_base_noface.arashi_pose01_relaxed_base_noface',Face=None,Position=Inherit,Transition=Inherit,bKeepPrevious=True,bHide=False,bMirror=False,ZOrder=0)",,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,/Game/Assets/Audio/ConversationalVoice/058_嗯.058_嗯
12,,岚没有多说话，拉着箱子走了进来。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
13,,发香在狭小的房间里散开，令人安心。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
14,,接着，在我身后慢慢地环住我的腰，轻轻地贴了上来，在我耳边轻声细喃。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
15,,嘿嘿，这下每天都能看到月了,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
16,,岚伏在我的肩上，感受着我的气息。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
