,Name,Dialog,Conversational voice,CurrentSprite,Background,BackgroundSound,Face
1,,躺在藤椅上，我抱着西瓜大口地用勺子吃着。,,,/Game/Assets/Background/Generated4K/05_memoriesoff1_fix_v2.05_memoriesoff1_fix_v2,,
2,,"在医院躺了一个多星期之后，我终于满血归来，但被大人下了""禁足令""，只能在周边一小块区域活动。",,,/Game/Assets/Background/Generated4K/05_memoriesoff1_fix_v2.05_memoriesoff1_fix_v2,,
3,,要不我们出去玩吧,,,/Game/Assets/Background/Generated4K/05_memoriesoff1_fix_v2.05_memoriesoff1_fix_v2,,
4,,不行,,,/Game/Assets/Background/Generated4K/05_memoriesoff1_fix_v2.05_memoriesoff1_fix_v2,,
5,,偷偷去……,,,/Game/Assets/Background/Generated4K/05_memoriesoff1_fix_v2.05_memoriesoff1_fix_v2,,
6,,不行,,,/Game/Assets/Background/Generated4K/05_memoriesoff1_fix_v2.05_memoriesoff1_fix_v2,,
7,,……,,,/Game/Assets/Background/Generated4K/05_memoriesoff1_fix_v2.05_memoriesoff1_fix_v2,,
8,,就在家里玩,,,/Game/Assets/Background/Generated4K/05_memoriesoff1_fix_v2.05_memoriesoff1_fix_v2,,
9,,好无聊的,,,/Game/Assets/Background/Generated4K/05_memoriesoff1_fix_v2.05_memoriesoff1_fix_v2,,
10,,那也得待在家里,,,/Game/Assets/Background/Generated4K/05_memoriesoff1_fix_v2.05_memoriesoff1_fix_v2,,
11,,我感到有些无语，便想偷偷跑出去，但正好被散完步回来的外公逮个正着。,,,/Game/Assets/Background/Generated4K/05_memoriesoff1_fix_v2.05_memoriesoff1_fix_v2,,
12,老爸,反正你没事，要不过来陪我一起钓鱼,,,/Game/Assets/Background/Generated4K/05_memoriesoff1_fix_v2.05_memoriesoff1_fix_v2,,
13,,老爸背着鱼竿，向我招了招手。,,,/Game/Assets/Background/Generated4K/05_memoriesoff1_fix_v2.05_memoriesoff1_fix_v2,,
14,,我对钓鱼自然是不感兴趣，好动的我碰上钓鱼那堪比坐牢，便一溜烟地跑进房间待着了。,,,/Game/Assets/Background/Generated4K/05_memoriesoff1_fix_v2.05_memoriesoff1_fix_v2,,
15,,于是乎，这几天我就在房间里消磨了。,,,/Game/Assets/Background/Generated4K/05_memoriesoff1_fix_v2.05_memoriesoff1_fix_v2,,
16,月,去买冰棍不？,,,/Game/Assets/Background/Generated4K/05_memoriesoff1_fix_v2.05_memoriesoff1_fix_v2,,
17,,我突然从地上跳起来，提出这个想法。,,,/Game/Assets/Background/Generated4K/05_memoriesoff1_fix_v2.05_memoriesoff1_fix_v2,,
18,月,很远吗？,,,/Game/Assets/Background/Generated4K/05_memoriesoff1_fix_v2.05_memoriesoff1_fix_v2,,
19,,岚还是那样小心，生怕我再惹出什么事来。,,,/Game/Assets/Background/Generated4K/05_memoriesoff1_fix_v2.05_memoriesoff1_fix_v2,,
