,Name,Dialog,Conversational voice,CurrentSprite,Background,BackgroundSound,Face
1,,高二和高三的一段日子，对我来说是一段最黑暗的时光。,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
2,,暂时分手，谁又能知道暂时是多久呢？,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
3,,我每天做的事，就是学习，学习，再学习，永无止境地学习。,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
4,,我希望能通过学习来缓解自己的情绪，但事实上近乎魔怔的学习状态并没有让我好受。,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
5,,草稿纸上写满了数学物理算式。,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
6,,余弦定理，,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
7,,岚；,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
8,,数列求和，,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
9,,岚；,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
10,,解析几何，,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
11,,岚；,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
12,,电磁场，,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
13,,热力学，,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
14,,运动学……,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
15,,岚，,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
16,,岚，,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
17,,岚……,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
18,,思考之余，我总是会默默地念着她的名字。等到回过头时，草稿纸上已经被她的名字占据了一半的空间。,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
19,,没有了她的生活，我愈发的孤独。,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
20,,不需要多余的朋友，不需要多余的交流，只要学习就行了是吧。,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
21,,我没有再笑过，不知何时，视野模糊了起来。,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
22,,很快月考的成绩单就发了下来，我瞟了一眼上面的名次——76名，接着将成绩单揉成一团，扔进垃圾桶。,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
23,,我的心情没有起伏，潜意识里告诉我不需要这东西，只要做题就好了。,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
24,,我没有像某些人一样，失恋了就喜欢发癫。我只是坐着默默地学习，默默地念着她的名字。,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
25,,偶尔我也会抬头望向远方，那是岚的学校的方向，然后又将头埋在试卷堆中。,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
26,,一次去买资料时，我路过岚的学校。很随意地，我透过透视围墙往里面瞟了一样，正好遇见那个熟悉的身影——岚正在操场上跑步。,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
27,,我很难想象出岚这种富有文艺气息的少女会做这种运动。看着操场上喘着粗气却还要坚持下去的少女，我很确定，那就是岚，但不是我记忆中的岚。,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
28,,我掏出手机，打开联系人的界面，望着熟悉的名字，最终还是关上了手机，向夜色中走去。,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
29,,终于，我熬到了放假。,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
30,,看完成绩单上的数字——42，我便把成绩单扔进了垃圾桶。,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
31,,这次是前50，以后会越来越难，越来越吃力。,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
32,,但我无所谓，能麻醉自己就行。,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
