,Name,Dialog,Conversational voice,CurrentSprite,Background,BackgroundSound,Face
1,,我觉得我们的这个产品……,,,,,
2,,会议室，我正在和其他人讨论着新产品的决定。,,,,,
3,,有了足够的钱，岚的病很快就被治好了，之后一直在家里静养，每天为我准备晚饭。,,,,,
4,,而我受了老爸的激励，决定拿着剩下的钱创业。,,,,,
5,,我大学学的是电子信息工程，对当前这个专业的需求还是看的比较清楚的。,,,,,
6,,我找到了高中的基友，依靠他学的经济学来帮我分析创业的最可行方案。,,,,,
7,,今天就这样吧，散会,,,,,
8,,于是人们开始走出会议室，接着我在门口看见了一个理应不会出现在这里的人。,,,,,
9,,你今天怎么来了？,,,,,
10,,想你了嘛，来，这是新鲜的鸡汤,,,,,
11,,岚坐在我的座椅上，如同小孩那般，前后摇晃起来。,,,,,
12,,对了我找了个新工作,,,,,
13,,什么？,,,,,
14,,小学老师,,,,,
15,,哦。啊？,,,,,
16,,我一口喷出鸡汤，难以置信地望向岚。,,,,,
17,,你不是心理学的吗？,,,,,
18,,可是这关我做小学老师什么事呢？,,,,,
19,,我难以想象，眼前这个富有文学气息的少女，会做这种工作。,,,,,
20,,没事啦没事啦,,,,,
21,,老师也很光荣的嘛，人民教师,,,,,
22,,不过还是找了点关系……,,,,,
23,,岚低下了头，有些支吾。,,,,,
24,,总之，别想着一个人承担起来，我也和你一起努力,,,,,
25,,岚给了我一拳，然后离开了。,,,,,
26,,我望向窗外，岚痊愈已经是两年之前的事情了。,,,,,
27,,那之后我们回了一趟山镇，和岚的父母说清了这件事。出乎意料的，他们对我这个女婿还挺喜欢。,,,,,
28,,于是我们在那个盛夏办了婚礼。,,,,,
29,,那天人不多，除了岚那边来了几个亲戚，小镇上的几个邻居，还有我的外公外婆，就没有什么人了。,,,,,
30,,我又找出了那辆二八大杠。,,,,,
31,,夜幕星河。,,,,,
32,,我们在小镇的路上追赶着月亮。,,,,,
33,,加油——,,,,,
34,,加油——,,,,,
35,,我受不了了——,,,,,
36,,快蹬啊——,,,,,
37,,敢问阁下体重……,,,,,
38,,闭嘴！,,,,,
39,,问女士重量是不礼貌的,,,,,
40,,我错了我错了,,,,,
41,,……,,,,,
42,,我们迎着盛夏的风，任凭身后星海追赶。,,,,,
43,,这一年，我们26岁。,,,,,
44,,没有办法避免的，我们被问道什么时候要孩子。,,,,,
45,月,你看隔壁那谁，孩子都三岁了,,,,,
46,,我也想抱孙子嘛……,,,,,
47,,会议室。,,,,,
48,,我黑着眼圈，不停地打着哈欠。,,,,,
49,,怎么了，怎么这么累,,,,,
50,,和你嫂子有点问题,,,,,
51,,吵架了？,,,,,
52,,单纯打架而已,,,,,
53,,什么？,,,,,
54,,不要在意，随便说说,,,,,
55,,我拖着疲惫的身躯推开门，一眼望去，桌子上全是韭菜羊肉之类的。,,,,,
56,,欢迎回来～,,,,,
57,,厨房里传来恶魔的欢迎声。,,,,,
58,,饶了我吧！,,,,,
59,,我痛苦地抱头蹲地。,,,,,
60,,好消息，夫人有喜了,,,,,
61,,那天岚感到身体有些不太舒服，我们来到医院看看。,,,,,
62,,还是双胞胎,,,,,
63,,什么运气。,,,,,
64,,临产期的前几个月，我停下了手中的工作，每天都陪在岚的身边。,,,,,
65,,要是能帮你分担一点痛苦就好了,,,,,
66,,我握着她的手。,,,,,
67,,即使再痛苦，我也会承担下去,,,,,
68,,因为我爱着你,,,,,
69,,同样也爱着即将出生的他们,,,,,
70,,岚轻轻地抚摸肚子，似乎在安抚已经出生分孩子一般。,,,,,
71,,她轻轻地靠在我的肩上，这个时候我才真正地，从另一个角度认识起这个坚强的女孩。,,,,,
72,,不同于初中时的青涩，,,,,,
73,,不同于高中时的文弱，,,,,,
74,,不同于大学时的靓丽。,,,,,
75,,而是那个从一开始就陪着我，留在我身边，一直没有放开手的人。,,,,,
76,,我轻轻地摸着她的头，正如以前那般。,,,,,
77,,生下来了，是龙凤胎，孩子很健康,,,,,
78,,这一天终于还是到来了。,,,,,
79,,我只能站在门外焦急的等待，看着护士将孩子抱出。,,,,,
80,,不过大人就没有那么幸运了……,,,,,
81,,我仿佛听到岚那微弱的呼吸声。,,,,,
82,,还不错，快赶上我一半的水平了,,,,,
83,,虚晃一枪后，岚夹起一块煎蛋放入口中咀嚼。,,,,,
84,,老实说，我确实想过最坏的情况。,,,,,
85,,但她没有，她坚持下来了。,,,,,
86,,我始终都相信着她，相信着那个我爱的人。,,,,,
87,,我怎么可能会死呢,,,,,
88,,我们牵起彼此的手。,,,,,
89,,"""在自然死亡到来之前，我们都要好好的，要一直在一起。",,,,,
