,Name,Dialog,Conversational voice,CurrentSprite,Background,BackgroundSound,Face
1,老爸,今年暑假干啥,,,,,
2,,出门前，老爸突然问道。,,,,,
3,老爸,反正不是补课,,,,,
4,,我从房间里探出个脑袋，回应着老爸。,,,,,
5,,上次回来后，为了成绩的提升，我开始了无休止的补课，以至于都没有什么时间休息。,,,,,
6,,我打算回去一趟,,,,,
7,,哦,,,,,
8,,回你妈的老家,,,,,
9,,带我一个,,,,,
10,,熟悉的道路，熟悉的景色，熟悉的街道渐渐呈现在眼前。,,,,,
11,,两年来什么都没有改变，只有我长大到了初二，当然抗击打能力好像变得更强了。,,,,,
12,,汽车进入了小镇，在那家我经常来买冰棍的小店停下。想着不能空着手去见外公外婆还有岚，我买了一些零食之类的。,,,,,
13,,站在门前，我有些犹豫，上次见面已经是两年前了，而且之间我们也没联系过，岚还会是自己印象中的那个岚吗？,,,,,
14,,要是她忘了我怎么办？,,,,,
15,,要是她和我疏远了怎么办？,,,,,
16,,要是她找了对象我该怎么办？,,,,,
17,,……,,,,,
18,,我想了很多，最后还是鼓起勇气推开大门，却不想岚不在家中。向外公外婆问过好后，我才知道岚现在还没放假。,,,,,
19,,既然你不在我身边，那我就去找寻你。,,,,,
20,,我跨上那辆熟悉的二八大杠，向学校骑去。,,,,,
21,,到校门口后，有些陌生的铃声传入耳中，接着便是学生从里面走出。,,,,,
22,,岚和我同年，比我晚生三个月，自然也和我是一个年级。不过由于她的父母在家的时间少，便将她交给我家外公外婆照顾，于是在我家住下已是习惯。,,,,,
23,,回忆着过去发生的事情，一道熟悉的身影映入眼帘。我一眼就看出那是岚，便向她招了招手，而岚也似乎认出我了，一路小跑过来，默契地坐上单车后座。,,,,,
24,岚,你还是一个人啊,/Game/Assets/Audio/ConversationalVoice/035_你还是一个人啊.035_你还是一个人啊,,,,
25,,和他们不怎么合得来,,,,,
26,,一个人不孤独吗,,,,,
27,,还好，习惯就感觉还行,,,,,
28,,其实我并没有资格说出这种话，我的人际圈并不大，甚至可以说没有，除了一个经常交流的基友，其余人都与我没有联系，仅仅只是点头之交。,,,,,
29,,有没有想我？,,,,,
30,,有点恶心,,,,,
31,,喂别这么绝情啊,,,,,
32,,我们在车上笑着，和那时一样，迎着夕阳回家。,,,,,
33,,对了你有手机吗？,,,,,
34,岚,当然有了,/Game/Assets/Audio/ConversationalVoice/036_当然有了.036_当然有了,,,,
35,,说罢，岚从书包里掏出新买的手机，在手中晃了晃。,,,,,
36,,我向她说了我的联系方式和QQ号码，这样即使我们相处异地，也能接收对方的消息。,,,,,
37,,感觉我们以后没有什么话说了啊,,,,,
38,,晚饭后，我们在小院里纳凉。,,,,,
39,,你看很多事都不能做了，自然话题也就少了,,,,,
40,,只要想说，总归是有的,,,,,
41,,岚摇摇头，表达出自己的意见。,,,,,
42,,"是啊，我在成长，岚也在成长。望向岚，发现她已不再是那个稚嫩的小女孩。如今的她，颇有一种文艺少女的气息，浑身散发着一种""腹有诗书气自华""的气质。",,,,,
43,,清晨，我在鸟鸣中醒来。迎着朝阳，开始了美好的一天。,,,,,
44,,习概性地推开门准备洗漱，却发现岚正在换衣服。,,,,,
45,,我急忙关上门，虽说有心理准备，但这幅画面有些许刺激。岚也到了发育的年纪，身材也有了几分姿色。,,,,,
46,,吃过早饭后，我无意间看道桌上的小玩具，那是吃干脆面送的。,,,,,
47,,我总是找不到最后一个,,,,,
48,,岚撕开一包干脆面，一口咬下去，嘎吱声便在堂屋内响起。,,,,,
49,,心底的好胜心被激活，我拉着岚的手冲出家门，直冲小卖部。,,,,,
50,,我抱着一箱干脆面，店里面却不见老板的身影。,,,,,
51,,老板？老板？结账！,,,,,
52,,见无人应答，我便有些好奇地打量起起前台的柜子，是很普通的那种构造。,,,,,
53,,突然，一张奇怪的东西出现在我的眼前，那是一张碟片。和之前在阿sir店里看过的碟片不同，这是一张来自海的对面的三级碟片，封面的男人和女人衣衫不整，抱在一起尽情吻着对方，丝毫不在意有些隐私部位暴露在外。,,,,,
54,,与此同时，我能感觉到岚的目光也落在了这张碟片上，便开始鬼叫起来吸引岚的注意力。接着用手蒙住岚的双眼，向外走去。,,,,,
55,月,小孩子还不能看这些,,,,,
56,,我这样说道，明明我也是小孩子。,,,,,
57,月,来了来了，喊什么嘛真是的,,,,,
58,,幸好老板及时赶到，收起了碟片，这场闹剧才得以结束。,,,,,
59,,我慌乱地付了钱，连找零都没来得及拿，就催促岚回家去了。,,,,,
60,岚,月，那碟片是什么？,/Game/Assets/Audio/ConversationalVoice/037_月，那碟片是什么？.037_月，那碟片是什么？,,,,
61,,回家的路上，岚终于还是问出了这个问题。,,,,,
62,岚,不知道啊！,/Game/Assets/Audio/ConversationalVoice/038_不知道啊！.038_不知道啊！,,,,
63,,我学着喜剧片里人物的样子，做出惊讶的动作。,,,,,
64,,那你捂住我的眼睛干什么,,,,,
65,岚,感觉，都是感觉,/Game/Assets/Audio/ConversationalVoice/039_感觉，都是感觉.039_感觉，都是感觉,,,,
66,,我随便找了个理由搪塞过去。其实我是知道的，由于一个人的原因，我看了很多书籍，其中不乏有对那方面的描写，所以我可以说比多数人要早熟一点。但为了岚的心灵往好的方向发展，我选择了隐瞒。,,,,,
67,岚,有吗？,/Game/Assets/Audio/ConversationalVoice/040_有吗？.040_有吗？,,,,
68,,没有,,,,,
69,,有吗？,,,,,
70,,没有,,,,,
71,,……,,,,,
72,,"这就像抽卡，越抽越上头。不经意之间，我和岚已经快把一想干脆面拆完了。最开始我们还拆一包吃一包，后来上头后便只拆不吃了。""最后两包""",,,,,
73,,嗯,,,,,
74,,开！,,,,,
75,,几乎是同时的，我俩打开了包装，却没发现那第四个玩具。,,,,,
76,,望着一地的干脆面，我们陷入了沉默。,,,,,
77,,怎么我开出的都是这种玩意儿啊！,,,,,
78,,我忍不住将自己开出的玩具抓在手中，胡乱地在空中舞着。,,,,,
79,,等等，月，你手上拿的是什么？,,,,,
80,,我停下来，有些愕然地望着岚。,,,,,
81,,这不就是第四个玩具嘛！,,,,,
82,,岚从我的手中拿起玩具，仔细地看了看，然后得出了这个结论——这个和有一个长得太像了，我没有将它们区分开来。,,,,,
83,,你还记得你这是第几包开出来的吗？,,,,,
84,,前五包里面吧,,,,,
85,,……,,,,,
86,,那干脆面怎么办？,,,,,
87,,于是这一天我们都吃的干脆面，到后面几乎是哭着将它们吃完的。,,,,,
88,,我发誓，这辈子都不想看见干脆面了,,,,,
89,,我做着电视里发誓的动作，喊出这句话。,,,,,
90,,很意外的，岚的父母从外面回来了，自然那几天岚就去陪她的父母了。,,,,,
91,,不过相聚的时光很短暂，三天后岚的父母又离开了小镇，去外面打工了。,,,,,
92,,我好像是第一次见到你的父母,,,,,
93,,毕竟他们不经常回来嘛,,,,,
94,,你有没有跟他们提起我,,,,,
95,,当然了！他们还说要见见你呢,,,,,
96,,现在见家长是不是有点操之过急了？,,,,,
97,,嗯？,,,,,
98,,没什么没什么,,,,,
99,,我急忙结束了这个话题，和岚谈恋爱什么的，我确实不敢想。,,,,,
100,,日子一天天的过去，随着蝉鸣的消逝，盛夏也接近尾声。这个盛夏和其他的不同，因为有岚在我身边；却又和那个盛夏有点相同，因为岚在我身边。,,,,,
101,,那天一如既往地，我们在山中玩耍后回家，却不想中途下起了雨。为了避雨，我们钻进一间破旧的小屋中。这里以前是我们的秘密基地。,,,,,
102,,月喜欢什么水果,,,,,
103,,苹果？梨子？还是西瓜吧,,,,,
104,,老实说我也不知道我喜欢什么水果，确切的说应该都不讨厌。或许是夏天的原因，我选择了西瓜。,,,,,
105,,岚从口袋里掏出一颗西瓜味的水果糖，剥开包装，放入口中。,,,,,
106,岚,月，我们来做碟片上的那个吧,/Game/Assets/Audio/ConversationalVoice/041_月，我们来做碟片上的那个吧.041_月，我们来做碟片上的那个吧,,,,
107,,过了会儿后，岚突然对我说。,,,,,
108,岚,啊——,/Game/Assets/Audio/ConversationalVoice/042_啊——.042_啊——,,,,
109,,一阵清风拂过。,,,,,
110,,趁我不注意，岚已经凑到了我的跟前，接着轻轻地吻上了我的唇。她的唇香香的，软软的，还带有带着西瓜味。在接吻的同时，她那尚在发育的胸脯也贴紧了我的胸膛。,,,,,
111,,雨不知何时停了。,,,,,
112,,当我意识到有什么不对而想要推开岚时，她却快我一步向后轻轻跃去。,,,,,
113,,我的初吻是西瓜味的哦,,,,,
114,,这样你吃西瓜时就能想起我了,,,,,
115,,即使我不在你身边也是,,,,,
116,,……,,,,,
117,,我没有说话，只是默默地走过去，没有经过思考，只是本能的驱使。,,,,,
118,,她的话语是那么的清澈，就如地上的积水一般，她的话语是那么的透明，仿佛向我敞开了心扉，她的话语是那么的诱惑，如那天的明月，诱使我不断抬头。,,,,,
119,,接着我一把抱住了她，吻上她的嘴唇，用我的行动来回应她的心意。,,,,,
120,,下过雨的林中十分安静，安静到我能听到我们的心跳声。,,,,,
121,,"""我很认真的，希望你记住这个吻的时间是——""   一辈子。",,,,,
