,Name,Dialog,Conversational voice,CurrentSprite,Background,BackgroundSound,Face
1,,或许是岚睡得本来就不深，轻微地扰动后，岚抬起了头。,,,,,
2,,你醒了？叔叔值班去了，我过来照顾你,,,,,
3,,岚揉了揉惺忪的睡眼，仿佛没睡醒一般。,,,,,
4,,我默默地点头，仿佛这是梦。,,,,,
5,,没什么大问题，就是过度劳累和饮食不规律,,,,,
6,,那我先回去了,,,,,
7,,见我没什么大碍，岚起身收拾东西，准备离开。,,,,,
8,,其实我一直都不知道该如何面对你,,,,,
9,,岚停下了脚步，背对着我。,,,,,
10,,我们还算是分手吗……,,,,,
11,,我真的甘心和她分手吗？,,,,,
12,,老爸的话语围绕在脑海中，我想抓住这次机会，想抓住我们的未来。,,,,,
13,,于是我握住她的手，在她离开之前。,,,,,
14,,我也想过我是不是做的太决绝了……,,,,,
15,,岚坐了下来，在我的床边。,,,,,
16,,那么是谁错了呢，又或者谁都没有错。,,,,,
17,,我们和其他小情侣一样，第一次吵架，第一次遇见困难，第一次闹矛盾。,,,,,
18,,但是我们都不肯让步，谁都不愿意投降。,,,,,
19,,这么多年，不管有谁欺负她我都会第一个冲上去，直到那个人成了我自己。,,,,,
20,,这么多年，不管有谁伤害她我都会挺身而出，知道那个人成了岚自己。,,,,,
21,,这是难熬的一年，黑暗的一年，于我于她都一样。,,,,,
22,,安静的病房中，突然传来一阵啜泣声。,,,,,
23,,对不起,,,,,
24,,滚烫的泪珠从她的眼眶里溢出来，落到白色的被单上。,,,,,
25,,我只是轻轻地抚摸着她娇弱的后背，不知道该说什么。,,,,,
26,,我只是叹气，不知道该说些什么。,,,,,
27,,岚的做法无疑是对的——她好不容易从那个山镇中走出来，走错一步，她又会回到那个地方。她觉得我不应该局限在那个山镇，于是提出来分手。,,,,,
28,,我也很清楚我们面对的问题，而且选择了逃避，但终究还是骗不过自己。,,,,,
29,,从很久以前开始，我就喜欢上了眼前这个女孩，我就拿她没有办法了。,,,,,
