,Name,Dialog,Conversational voice,CurrentSprite,Background,BackgroundSound,Face
1,岚,话说，岚你还没有在城市里逛过吧？,/Game/Assets/Audio/ConversationalVoice/062_话说，岚你还没有在城市里逛过吧？.062_话说，岚你还没有在城市里逛过吧？,,,,
2,,夜晚，我躺在床上，望向窗外的城市，向客厅里的岚问去。,,,,,
3,岚,好像是哦，来了之后就一直在忙学校方面的事情，还没有好好地欣赏过这个城市,/Game/Assets/Audio/ConversationalVoice/063_好像是哦，来了之后就一直在忙学校方面的事情，还没有好好地欣赏.063_好像是哦，来了之后就一直在忙学校方面的事情，还没有好好地欣赏,,,,
4,,我看了眼手机，上面显示十二月二十九日，星期四。,,,,,
5,,要不这个周末一起出去玩吧,,,,,
6,,好啊好啊……,,,,,
7,,我们还是像以前那样你一言我一语地聊着，不知何时，岚的声音渐渐小了下去，接着便没了回声，只留下电视剧的声音在客厅回荡。,,,,,
8,,我走出房门，环顾了一下家里，老爸果然又出去值夜班了。,,,,,
9,,我看向客厅，发现岚正静静地躺靠在沙发上，一言不发，任凭电视的节目播放。,,,,,
10,,我悄悄靠近岚的身边，发现岚已经睡着。这家伙，不知道冬天很冷的吗？,,,,,
11,,岚轻闭着双目，呼吸声仿佛有着魔力一般跟着节奏起伏。刚洗过的长发散发着一种独属于岚的发香，令我感到安心。,,,,,
12,,看着岚可爱的睡脸，如同沉睡的公主一般。我实在不忍打破这般美好的场景，便只好拿来一床被子盖在岚的身上。,,,,,
13,,窗外寒风肆掠，屋内温暖如春。为岚盖好被子，关掉电视后，屋内一下安静了下来，我仿佛听到了岚在睡梦中发出的呢喃。,,,,,
14,,我看着岚天使般的面容，婴儿般的睡脸，还有那两个粉嫩的小酒窝，心里不由得有点痒。,,,,,
15,,偶尔一次，应该没事的吧……,,,,,
16,,如此想着，我凑到岚的脸边，轻轻地将他的头发撩在耳后，然后在她的侧脸上悄悄地留下一个吻。,,,,,
17,,做完这些，我脸居然发红的有些烫，便急忙光上灯，回房间睡觉了。,,,,,
18,岚,嘿嘿……最喜欢月了……,/Game/Assets/Audio/ConversationalVoice/064_嘿嘿……最喜欢月了…….064_嘿嘿……最喜欢月了……,,,,
19,,黑暗中，寂静的客厅里，岚说着甜甜的梦话。,,,,,
20,岚,出发！,/Game/Assets/Audio/ConversationalVoice/065_出发！.065_出发！,,,,
21,,欧耶！,,,,,
22,,星期六，冬日里难得的晴空。我们难以抑制住激动的心情，早早地从床上爬了起来，做好出门的准备。,,,,,
23,,我们牵着彼此的手，踏着朝阳，向城市各处走去。,,,,,
24,,月，这个这个,,,,,
25,,知道了，别走那么快啊,,,,,
26,,游乐场里，岚因为感到新奇而四处张望着。一会儿拉着我去坐旋转咖啡，一会儿又拖着我去坐大摆锤……,,,,,
27,,我说岚，你不应该是淑女的形象吗……,,,,,
28,岚,慢点儿，我先歇会儿,/Game/Assets/Audio/ConversationalVoice/066_慢点儿，我先歇会儿.066_慢点儿，我先歇会儿,,,,
29,,诶～阿月还真是弱呢～,,,,,
30,,我实在受不了连续体验这种刺激项目的感觉了，便一边向岚抗议，一边找了个长椅坐下，大口喘着气。,,,,,
31,,岚却像是有着无限精力一样，玩了这么多项目一点儿都不带累的，甚至还可以活蹦乱跳，这和坐在长椅上没了半条命的我行程鲜明对比。,,,,,
32,,原来大城市里还有这么好玩儿的东西,,,,,
33,,这是当然,,,,,
34,,我打开挎包，拿出一瓶水拧开递给岚。,,,,,
35,,这种场景以前只在书上看见过呢,,,,,
36,,在天上飞着的感觉真舒服,,,,,
37,岚,……,/Game/Assets/Audio/ConversationalVoice/067_…….067_……,,,,
38,,我靠在长椅上，听岚诉说着自己的感受。渐渐的，我的呼吸平稳了下来。,,,,,
39,岚,那是什么，我们去玩儿吧！,/Game/Assets/Audio/ConversationalVoice/068_那是什么，我们去玩儿吧！.068_那是什么，我们去玩儿吧！,,,,
40,,岚激动地站起身，一手拉着我，一手指着过山车。,,,,,
41,,我亲爱的公主，求你玩点温和的项目，饶了我吧！,,,,,
42,,坐上过山车，扣上安全扣后，随着铃声的响起，过山车缓缓启动，开始爬升。,,,,,
43,,过山车缓缓地的在轨道上爬升，视野也逐渐开阔起来，城市的大部分街景都呈现在眼中，很是壮观。但我只感觉到紧张感。,,,,,
44,,终于过山车走到了顶端，停在下坡路的前段，似乎在做着最后的准备。,,,,,
45,,"我握住岚的手，心中默念""希望人没事""这类话语。余光中，岚则还是一脸疑惑的表情，然后……",,,,,
46,,啊啊啊啊啊——,,,,,
47,,走下来的时候，我只记得尖叫声，以及脑浆在头脑中回旋的感觉，丝毫感觉不到任何快乐，只是觉得活着真好。,,,,,
48,,……,,,,,
49,,……,,,,,
50,,我们两人沉默着，歪歪扭扭地走向路边的长椅。这次岚也没有够撑过去，一手扶着额头，大口地吸着周围的新鲜空气。,,,,,
51,,rue……,,,,,
52,,别做出一副要吐的样子啊，你可是旁人眼中的美少女啊喂。,,,,,
53,,好像有点，玩过头了，下次还是试点温和的吧,,,,,
54,,我疯狂点头表示同意。,,,,,
55,,接着我们去玩了旋转木马，碰碰车这些比较温和的项目。,,,,,
56,,岚今天身穿洁白的羽绒服大衣，脚踩白色短靴，脖颈还围着一条洁白的围巾。在冬日的阳光下奔跑下的她，好似一位纯洁的小精灵。,,,,,
57,,午后，我们有些累了，便找了一家咖啡屋坐下，谈论着接下来去哪儿玩。,,,,,
58,,客人你好，这是你点的咖啡,,,,,
59,,冬日的下午喝上一杯热咖啡简直就是人间美事，更别提旁边还有一位可爱的女生。,,,,,
60,,说起来岚你这次怎么没有喝咖啡了,,,,,
